name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
"Loaded Cauliflower ""Mash"" Bake",https://images.eatthismuch.com/img/291395_amusedmonkey_61cd65fa-21a5-4848-9d1a-c2433700ec3a.png,586,51g,12g,"1 serving of loaded cauliflower ""mash"" bake  contains 586 Calories. The macronutrient
  breakdown is 8% carbs, 78% fat, and 14% protein.  This is a good source of protein (36% of your Daily Value), potassium (17% of your Daily Value), and vitamin b6 (50% of your Daily Value).",10 minutes,25 minutes,"Directions Cook the bacon in a skillet until crisp; set aside on a paper towel then crumble.
Fill a large pot with water, bring to a boil. Add cauliflower and garlic. Boil until the cauliflower is soft, about 15-20 minutes. Drain, and return to the pot. 
Preheat the oven to 350 degrees F.Add the buttermilk, butter, salt and pepper to the cauliflower and purée with a hand blender. If you don't own a hand blender, a regular blender would work fine as well.Mix in 1 tbsp of the chives  and transfer to 4 individual casseroles (3/4 cups each) or one 8 x 8 casserole dish. Top with cheddar and crumbled bacon. Bake in the oven until the cheese melts, about 5 minutes then top with remaining chives. Enjoy!Recipe inspired by: http://www.skinnytaste.com/2014/12/loaded-cauliflower-mash-bake.html",20,30
S'more Cups,https://images.eatthismuch.com/img/332345_simmyras_b86fc76c-11fb-4d36-b4b5-75bb17a4f5c5.png,118,7g,16g,"1 serving of s'more cups  contains 118 Calories. The macronutrient
  breakdown is 49% carbs, 48% fat, and 3% protein.  This has a relatively high calorie density, with 475 Calories per 100g.",10 minutes,10 minutes,"Directions Preheat oven to 350 degrees F.Combine graham cracker crumbs, powdered sugar, and melted butter in a bowl.
Use a mini muffin pan and place a small scoop of crumb mixture into each cup.Press the mixture to form a cup.Bake 4 to 5 minutes or until edges bubble and remove from oven.Break candy bar into rectangles and cut marshmallows in half.Place one piece of chocolate into each cup and top with a marshmallow.Bake for another minute or two or until the marshmallow is soft.Remove and cool.
Melt the remaining candy bars and dip each s'more into the chocolate mixture.Let stand until set and enjoy.",1,31
Banana Chocolate Chip Muffins,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,91,3g,13g,"1 serving of banana chocolate chip muffins  contains 91 Calories. The macronutrient
  breakdown is 55% carbs, 27% fat, and 18% protein.  This has a moderate calorie density, with 150 Calories per 100g.",10 minutes,20 minutes,"Directions Preheat oven to 375°F. Line a muffin pan with paper cups.Mash banana in a bowl. Add all wet ingredients to the bowl and whisk together well.In a separate bowl, combine all dry ingredients (excluding chocolate chips) and whisk together well.Gradually mix the wet ingredients into the dry ingredients until the batter is homogenous. Fold in the chocolate chips.Pour the batter into the prepared muffin tin.Bake for about 20 minutes, or until a toothpick inserted into the center comes out clean.Let the muffins cool in the pan for a few minutes before transferring them to a wire rack to cool completely.",4,32
Pan Fried Vegetables,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,41,3g,4g,"1 serving of pan fried vegetables  contains 41 Calories. The macronutrient
  breakdown is 32% carbs, 54% fat, and 14% protein.  This has a relatively low calorie density, with 40 Calories per 100g.",8 minutes,20 minutes,"Directions Heat pan to medium.Slice Squash and Zucchini Add butter, seasoning, and vegetables to pan. Fry for 20 minutes or until desired softness is reached.Sprinkle with Parmesan",2,33
Steamed Striped Bass with Ginger and Scallions,https://images.eatthismuch.com/img/45242_elm333_a37acc53-d50a-47be-a9ee-295debc47158.jpeg,1218,31g,85g,"1 serving of steamed striped bass with ginger and scallions  contains 1218 Calories. The macronutrient
  breakdown is 29% carbs, 24% fat, and 48% protein.  This is a good source of protein (251% of your Daily Value), potassium (64% of your Daily Value), and calcium (64% of your Daily Value).",10 minutes,30 minutes,"Directions PREPARATION:  Cook rice according to package directions. Peel ginger and cut into very thin matchsticks.  Cut scallions lengthwise into very thin matchsticks (1/2 cup).Arrange a steamer rack or an inverted pie plate in a deep 12-inch skillet and add 3 cups water to skillet. Cover skillet and bring water to a boil.Pat fillets dry and arrange on a heatproof plate that will fit into skillet with 1 inch clearance around plate. Sprinkle ginger and 1/4 cup scallions evenly on top of fish. Stir together soy sauce and oil in a small bowl and drizzle evenly over fillets. Carefully transfer plate with fish to rack in skillet and cover tightly, then steam over moderately high heat until fish is just cooked through, 15 to 20 minutes. Carefully remove plate from skillet and sprinkle with remaining 1/4 cup scallions. Serve with rice.",140,34
High Protein Vegetarian Pasta With Tempeh Tomato Sauce,https://images.eatthismuch.com/img/3251860_elm333_952a8e89-99fc-4091-832f-fdc7f289c922.jpg,433,14g,62g,"1 serving of high protein vegetarian pasta with tempeh tomato sauce  contains 433 Calories. The macronutrient
  breakdown is 53% carbs, 28% fat, and 20% protein.  This is a good source of protein (41% of your Daily Value), potassium (26% of your Daily Value), and iron (72% of your Daily Value).",10 minutes,20 minutes,"Directions Prepare pasta according to package directions.Slice mushrooms and mince garlic. Make zucchini noodles using a spiralizer or vegetable peeler. Set aside.Crumble tempeh into a large bowl using your hands.Heat 2 large pans over medium heat. Add olive oil and minced garlic to both pans, cooking for 1-2 minutes until slightly browned. In one pan, add crumbled tempeh and cook for 3 minutes. In the other pan, add mushrooms and cook until browned and tender, about 10 minutes.Add tomatoes, tomato paste, thyme, and salt to pan with tempeh. Cook until sauce thickens, about 5 minutes.When mushrooms are cooked, drain and add to tomato mixture. Continue cooking for a few minutes, adding fresh chopped basil at the end. Adjust seasonings as needed.In the used mushroom pan, lightly saute the zucchini noodles for 1-2 minutes. Add zucchini noodles to drained pasta. Pour sauce over top and stir to combine.",23,35
Broccoli Stuffed Baked Potato,https://images.eatthismuch.com/img/367367_JannieW_fabc49c8-411e-4a40-9857-b3402a0549dd.png,254,8g,41g,"2 Halves of broccoli stuffed baked potato  contains 254 Calories. The macronutrient
  breakdown is 61% carbs, 26% fat, and 13% protein.  This is a good source of protein (15% of your Daily Value), fiber (21% of your Daily Value), and potassium (27% of your Daily Value).",12 minutes,40 minutes,"Directions Preheat oven to 425°F. Place potatoes on a baking sheet and bake for about 30 minutes, or until fork tender.Bring a pot of water to boil. Add the broccoli and cook for about 4-5 minutes or until broccoli is tender; drain and set aside.Halve potatoes, scoop, and mash. Add butter, half of the cheese, garlic, and pepper. Return to skins, top with broccoli, sprinkle with remaining cheese and black pepper. Bake just to melt cheese, about 5 minutes.",9,36
Vegan Chickpea Cakes with Avocado,https://images.eatthismuch.com/img/406001_elm333_793dd861-a32a-48de-97b6-d8ddc2a19c2e.jpg,433,26g,44g,"1 serving of vegan chickpea cakes with avocado  contains 433 Calories. The macronutrient
  breakdown is 40% carbs, 52% fat, and 8% protein.  This is a good source of protein (16% of your Daily Value), fiber (33% of your Daily Value), and potassium (9% of your Daily Value).",10 minutes,20 minutes,"Directions Chop herbs and de-seed & chop jalapeno.Bring 2 cups of water to a boil over high heat. Add bulgur wheat and cook until tender, about 10 minutes. Drain carefully.While wheat cooks, combine parsley, mint, cilantro, garlic, jalapeño and coriander in the bowl of a food processor. Pulse until finely chopped, scraping down sides as necessary, about 10 to 12 short pulses. Add half of chickpeas and pulse until a rough puree is formed, scraping down sides as necessary, about 8 to 10 short pulses. Transfer to a large bowl.Add remaining chickpeas to food processor and pulse until roughly chopped, 4 to 6 pulses. Transfer to bowl with chickpea/herb mixture. When bulgur wheat has drained, add to bowl. Season with salt and pepper, then fold mixture together, starting with a rubber spatula, and finishing by hand when cool enough to handle. Form mixture into patties roughly 3/4-inch thick and 3 inches wide (you should be able to work 8 to 12 patties).Combine flour and water in a medium bowl and whisk until smooth. Place breadcrumbs in second medium bowl.Working one patty at a time, dip in flour mixture to coat, then transfer to breadcrumbs. Cover with breadcrumbs on all sides, then transfer to a plate. Repeat with remaining patties.Heat half of oil in a large cast iron or non-stick skillet over medium-high heat until shimmering. Add half the patties in a single layer and cook, swirling pan occasionally, until golden brown on bottoms, about 2 minutes. Carefully flip and cook second side, swirling pan occasionally as they cook, about 2 minutes longer. Transfer to a plate and keep warm while you cook the remaining patties.Place avocado in a medium bowl and mash the flesh with a fork. Season with salt and add lime juice. serve fried chickpea patties with mashed avocado and lime wedges.",9,37
Coconut Quinoa,https://images.eatthismuch.com/img/906306_Shamarie84_1d903a14-ec80-4469-be30-c91c998fa30a.png,934,62g,84g,"1 serving of coconut quinoa  contains 934 Calories. The macronutrient
  breakdown is 34% carbs, 57% fat, and 9% protein.  This is a good source of protein (40% of your Daily Value), fiber (35% of your Daily Value), and potassium (28% of your Daily Value).",5 minutes,18 minutes,"Directions Place rinsed and drained quinoa, coconut milk, and agave in a medium-sized pot. Stir ingredients and bring to a boil. Reduce heat to a low simmer and cover pot, preferably with a clear lid (so you can see through it and keep an eye on the quinoa). Stir a few times during cooking. If mixture seems to be boiling out, crack the lid to release steam, otherwise, keep covered. Cook for 10-15 minutes, until liquid is absorbed. In the last few minutes of cooking, feel free to add a little water until desired consistency is reached. 
Divide quinoa into bowls and top with fresh berries. Enjoy!",22,38
Soy-Wasabi Spread on Toast,https://images.eatthismuch.com/img/337389_elm333_e24f49bb-f277-4dc4-84df-008afc647d8d.jpg,312,12g,29g,"1 serving of soy-wasabi spread on toast  contains 312 Calories. The macronutrient
  breakdown is 35% carbs, 32% fat, and 32% protein.  This is a good source of protein (47% of your Daily Value), fiber (29% of your Daily Value), and potassium (21% of your Daily Value).",5 minutes,5 minutes,"Directions Cook edamame in a pot of boiling water until tender, about five minutes. Drain in a colander and rinse under cold running water to stop the cooking. Drain again.Puree the edamame, tofu, lemon juice, wasabi, lemon zest, and salt in a food processor. Toast bread and spread edamame spread onto toast. Garnish with sesame seeds and serve. Spread can be refrigerated in an airtight container for up to two days.",26,39
Creamed Corn with Basil,https://images.eatthismuch.com/img/57096_simmyras_06bed3f2-44dd-462a-b6ab-33dcf72c5de4.png,172,7g,28g,"1 serving of creamed corn with basil  contains 172 Calories. The macronutrient
  breakdown is 58% carbs, 32% fat, and 10% protein.  This is a good source of potassium (9% of your Daily Value).",35 minutes,35 minutes,"Directions Working in a large bowl, cut kernels from cobs with a sharp knife and set aside. Scrape back of knife several times against cobs to extract remaining corn pulp, scraping into a large glass measure. (You should have at least 3/4 cup of corn pulp. If not, add 2 tablespoons crme frache.) Transfer pulp to a blender and pure with 2 tablespoons crme frache until smooth.Cook shallot in butter in a 12-inch heavy skillet over moderate heat, stirring occasionally, until softened, 3 to 4 minutes. Stir in kernels, then add corn pure, water, salt, and pepper and simmer, uncovered, stirring occasionally, until kernels are just tender, 3 to 4 minutes. Stir in basil to taste.",5,40
"Buttermilk Biscuits with Green Onions, Black Pepper, and Sea Salt",https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,176,8g,22g,"1 serving of buttermilk biscuits with green onions, black pepper, and sea salt  contains 176 Calories. The macronutrient
  breakdown is 48% carbs, 41% fat, and 11% protein.  This has a relatively high calorie density, with 402 Calories per 100g.",15 minutes,35 minutes,"Directions Cut butter into 1/2-inch cubes, reserving one tablespoon. Position rack in center of oven and preheat
to 425F. Line baking sheet with parchment
paper. Combine buttermilk and green onions
in medium bowl. Whisk flour, cornmeal, sugar, and 1/2 teaspoon ground black pepper in large bowl to blend. Add 1/2 cup chilled
butter and rub in with fingertips until mixture
resembles coarse meal. Add buttermilk
mixture and stir until moist clumps form.Gather dough together. Turn dough out
onto floured surface and knead gently just
to combine, about 3 to 4 turns. Roll out to
3/4-inch thickness. Using floured 2-inch cookie
or biscuit cutter, cut out rounds. Reroll
scraps and cut out additional rounds. Place
2 inches apart on prepared baking sheet.
Brush tops of biscuits with melted butter.
Sprinkle each lightly with coarse sea salt and
ground black pepper.Bake biscuits until golden and tester
inserted into center comes out clean, about
20 minutes. Cool slightly. Serve warm or at
room temperature.",5,41
